variable,question,value,value_label
CC24_311b,Know Party of Representative -- $CurrentSen1Name,9,not asked
CC24_311c,Know Party of Representative -- $CurrentSen2Name,1,Never Heard of Person
CC24_311c,Know Party of Representative -- $CurrentSen2Name,2,Republican
CC24_311c,Know Party of Representative -- $CurrentSen2Name,3,Democrat
CC24_311c,Know Party of Representative -- $CurrentSen2Name,4,Other Party / Independent
CC24_311c,Know Party of Representative -- $CurrentSen2Name,5,Not sure
CC24_311c,Know Party of Representative -- $CurrentSen2Name,8,skipped
CC24_311c,Know Party of Representative -- $CurrentSen2Name,9,not asked
CC24_311d,Know Party of Representative -- $CurrentHouseName,1,Never Heard of Person
CC24_311d,Know Party of Representative -- $CurrentHouseName,2,Republican
CC24_311d,Know Party of Representative -- $CurrentHouseName,3,Democrat
CC24_311d,Know Party of Representative -- $CurrentHouseName,4,Other Party / Independent
CC24_311d,Know Party of Representative -- $CurrentHouseName,5,Not sure
CC24_311d,Know Party of Representative -- $CurrentHouseName,8,skipped
CC24_311d,Know Party of Representative -- $CurrentHouseName,9,not asked
CC24_312a,Job Approval Institutions -- President Biden,1,Strongly approve
CC24_312a,Job Approval Institutions -- President Biden,2,Somewhat approve
CC24_312a,Job Approval Institutions -- President Biden,3,Somewhat disapprove
CC24_312a,Job Approval Institutions -- President Biden,4,Strongly disapprove
CC24_312a,Job Approval Institutions -- President Biden,5,Not sure
CC24_312a,Job Approval Institutions -- President Biden,8,skipped
CC24_312a,Job Approval Institutions -- President Biden,9,not asked
CC24_312i,Job Approval Institutions -- Vice President Harris,1,Strongly approve
CC24_312i,Job Approval Institutions -- Vice President Harris,2,Somewhat approve
CC24_312i,Job Approval Institutions -- Vice President Harris,3,Somewhat disapprove
CC24_312i,Job Approval Institutions -- Vice President Harris,4,Strongly disapprove
CC24_312i,Job Approval Institutions -- Vice President Harris,5,Not sure
CC24_312i,Job Approval Institutions -- Vice President Harris,8,skipped
CC24_312i,Job Approval Institutions -- Vice President Harris,9,not asked
CC24_312b,Job Approval Institutions -- The U.S. Congress,1,Strongly approve
CC24_312b,Job Approval Institutions -- The U.S. Congress,2,Somewhat approve
CC24_312b,Job Approval Institutions -- The U.S. Congress,3,Somewhat disapprove
CC24_312b,Job Approval Institutions -- The U.S. Congress,4,Strongly disapprove
CC24_312b,Job Approval Institutions -- The U.S. Congress,5,Not sure
CC24_312b,Job Approval Institutions -- The U.S. Congress,8,skipped
CC24_312b,Job Approval Institutions -- The U.S. Congress,9,not asked
CC24_312c,Job Approval Institutions -- The U.S. Supreme Court,1,Strongly approve
CC24_312c,Job Approval Institutions -- The U.S. Supreme Court,2,Somewhat approve
CC24_312c,Job Approval Institutions -- The U.S. Supreme Court,3,Somewhat disapprove
CC24_312c,Job Approval Institutions -- The U.S. Supreme Court,4,Strongly disapprove
CC24_312c,Job Approval Institutions -- The U.S. Supreme Court,5,Not sure
CC24_312c,Job Approval Institutions -- The U.S. Supreme Court,8,skipped
CC24_312c,Job Approval Institutions -- The U.S. Supreme Court,9,not asked
CC24_312d,Job Approval Institutions -- The Governor of $inputstate,1,Strongly approve
CC24_312d,Job Approval Institutions -- The Governor of $inputstate,2,Somewhat approve
CC24_312d,Job Approval Institutions -- The Governor of $inputstate,3,Somewhat disapprove
CC24_312d,Job Approval Institutions -- The Governor of $inputstate,4,Strongly disapprove
CC24_312d,Job Approval Institutions -- The Governor of $inputstate,5,Not sure
CC24_312d,Job Approval Institutions -- The Governor of $inputstate,8,skipped
CC24_312d,Job Approval Institutions -- The Governor of $inputstate,9,not asked
CC24_312e,Job Approval Institutions -- $LegName,1,Strongly approve
CC24_312e,Job Approval Institutions -- $LegName,2,Somewhat approve
CC24_312e,Job Approval Institutions -- $LegName,3,Somewhat disapprove
CC24_312e,Job Approval Institutions -- $LegName,4,Strongly disapprove
CC24_312e,Job Approval Institutions -- $LegName,5,Not sure
CC24_312e,Job Approval Institutions -- $LegName,8,skipped
CC24_312e,Job Approval Institutions -- $LegName,9,not asked
CC24_312f,Job Approval Institutions -- $CurrentHouseName,1,Strongly approve
CC24_312f,Job Approval Institutions -- $CurrentHouseName,2,Somewhat approve
CC24_312f,Job Approval Institutions -- $CurrentHouseName,3,Somewhat disapprove
CC24_312f,Job Approval Institutions -- $CurrentHouseName,4,Strongly disapprove
CC24_312f,Job Approval Institutions -- $CurrentHouseName,5,Not sure
CC24_312f,Job Approval Institutions -- $CurrentHouseName,8,skipped
CC24_312f,Job Approval Institutions -- $CurrentHouseName,9,not asked
CC24_312g,Job Approval Institutions -- $CurrentSen1Name,1,Strongly approve
CC24_312g,Job Approval Institutions -- $CurrentSen1Name,2,Somewhat approve
CC24_312g,Job Approval Institutions -- $CurrentSen1Name,3,Somewhat disapprove
CC24_312g,Job Approval Institutions -- $CurrentSen1Name,4,Strongly disapprove
CC24_312g,Job Approval Institutions -- $CurrentSen1Name,5,Not sure
CC24_312g,Job Approval Institutions -- $CurrentSen1Name,8,skipped
CC24_312g,Job Approval Institutions -- $CurrentSen1Name,9,not asked
CC24_312h,Job Approval Institutions -- $CurrentSen2Name,1,Strongly approve
CC24_312h,Job Approval Institutions -- $CurrentSen2Name,2,Somewhat approve
CC24_312h,Job Approval Institutions -- $CurrentSen2Name,3,Somewhat disapprove
CC24_312h,Job Approval Institutions -- $CurrentSen2Name,4,Strongly disapprove
CC24_312h,Job Approval Institutions -- $CurrentSen2Name,5,Not sure
CC24_312h,Job Approval Institutions -- $CurrentSen2Name,8,skipped
CC24_312h,Job Approval Institutions -- $CurrentSen2Name,9,not asked
cit1,US citizen,1,Yes
cit1,US citizen,2,No
cit1,US citizen,8,skipped
cit1,US citizen,9,not asked
immstat,Immigration background,1,I am an immigrant to the USA and a naturalized citizen
immstat,Immigration background,2,I am an immigrant to the USA but not a citizen
immstat,Immigration background,3,I was born in the USA but at least one of my parents is an immigrant
immstat,Immigration background,4,My parents and I were born in the USA but at least one of my grandparents was an immigrant
immstat,Immigration background,5,"My parents, grandparents and I were all born in the USA"
immstat,Immigration background,8,skipped
immstat,Immigration background,9,not asked
CC24_321a,Gun control -- Ban assault rifles,1,Support
CC24_321a,Gun control -- Ban assault rifles,2,Oppose
CC24_321a,Gun control -- Ban assault rifles,8,skipped
CC24_321a,Gun control -- Ban assault rifles,9,not asked
CC24_321b,Gun control -- Make it easier for people to obtain concealed-carry permit,1,Support
CC24_321b,Gun control -- Make it easier for people to obtain concealed-carry permit,2,Oppose
CC24_321b,Gun control -- Make it easier for people to obtain concealed-carry permit,8,skipped
CC24_321b,Gun control -- Make it easier for people to obtain concealed-carry permit,9,not asked
CC24_321c,Gun control -- Require criminal background checks on all gun sales,1,Support
CC24_321c,Gun control -- Require criminal background checks on all gun sales,2,Oppose
CC24_321c,Gun control -- Require criminal background checks on all gun sales,8,skipped
CC24_321c,Gun control -- Require criminal background checks on all gun sales,9,not asked
CC24_321d,"Gun control -- Increase the number of police on the street by 10 percent, even if it means fewer funds for other public services",1,Support
CC24_321d,"Gun control -- Increase the number of police on the street by 10 percent, even if it means fewer funds for other public services",2,Oppose
CC24_321d,"Gun control -- Increase the number of police on the street by 10 percent, even if it means fewer funds for other public services",8,skipped
CC24_321d,"Gun control -- Increase the number of police on the street by 10 percent, even if it means fewer funds for other public services",9,not asked
CC24_321e,"Gun control -- Decrease the number of police on the street by 10 percent, and increase funding for other public services",1,Support
CC24_321e,"Gun control -- Decrease the number of police on the street by 10 percent, and increase funding for other public services",2,Oppose
CC24_321e,"Gun control -- Decrease the number of police on the street by 10 percent, and increase funding for other public services",8,skipped
CC24_321e,"Gun control -- Decrease the number of police on the street by 10 percent, and increase funding for other public services",9,not asked
CC24_321f,Gun control -- Increase spending on mental health and school safety Allow police to confiscate guns from people deemed to be dangerous by a judge Prohibit people convicted of domestic violence from owning guns; enhance background checks on minors Increase,1,Support
CC24_321f,Gun control -- Increase spending on mental health and school safety Allow police to confiscate guns from people deemed to be dangerous by a judge Prohibit people convicted of domestic violence from owning guns; enhance background checks on minors Increase,2,Oppose
CC24_321f,Gun control -- Increase spending on mental health and school safety Allow police to confiscate guns from people deemed to be dangerous by a judge Prohibit people convicted of domestic violence from owning guns; enhance background checks on minors Increase,8,skipped
CC24_321f,Gun control -- Increase spending on mental health and school safety Allow police to confiscate guns from people deemed to be dangerous by a judge Prohibit people convicted of domestic violence from owning guns; enhance background checks on minors Increase,9,not asked
CC24_323a,"Immigration -- Grant legal status to all illegal immigrants who have held jobs and paid taxes for at least 3 years, and not been convicted of any felony crimes",1,Support
CC24_323a,"Immigration -- Grant legal status to all illegal immigrants who have held jobs and paid taxes for at least 3 years, and not been convicted of any felony crimes",2,Oppose
CC24_323a,"Immigration -- Grant legal status to all illegal immigrants who have held jobs and paid taxes for at least 3 years, and not been convicted of any felony crimes",8,skipped
CC24_323a,"Immigration -- Grant legal status to all illegal immigrants who have held jobs and paid taxes for at least 3 years, and not been convicted of any felony crimes",9,not asked
CC24_323b,Immigration -- Increase the number of border patrols on the US-Mexican border,1,Support
CC24_323b,Immigration -- Increase the number of border patrols on the US-Mexican border,2,Oppose
CC24_323b,Immigration -- Increase the number of border patrols on the US-Mexican border,8,skipped
CC24_323b,Immigration -- Increase the number of border patrols on the US-Mexican border,9,not asked
CC24_323c,Immigration -- Build a wall between the U.S. and Mexico,1,Support
CC24_323c,Immigration -- Build a wall between the U.S. and Mexico,2,Oppose
CC24_323c,Immigration -- Build a wall between the U.S. and Mexico,8,skipped
CC24_323c,Immigration -- Build a wall between the U.S. and Mexico,9,not asked
CC24_323d,Immigration -- Provide permanent resident status to children of immigrants who were brought to the United States by their parents (also known as Dreamers). Provide these immigrants a pathway to citizenship if they meet the citizenship requirements and have,1,Support
CC24_323d,Immigration -- Provide permanent resident status to children of immigrants who were brought to the United States by their parents (also known as Dreamers). Provide these immigrants a pathway to citizenship if they meet the citizenship requirements and have,2,Oppose
CC24_323d,Immigration -- Provide permanent resident status to children of immigrants who were brought to the United States by their parents (also known as Dreamers). Provide these immigrants a pathway to citizenship if they meet the citizenship requirements and have,8,skipped
CC24_323d,Immigration -- Provide permanent resident status to children of immigrants who were brought to the United States by their parents (also known as Dreamers). Provide these immigrants a pathway to citizenship if they meet the citizenship requirements and have,9,not asked
CC24_324a,Abortion -- Always allow a woman the right to obtain an abortion as a matter of choice,1,Support
CC24_324a,Abortion -- Always allow a woman the right to obtain an abortion as a matter of choice,2,Oppose
CC24_324a,Abortion -- Always allow a woman the right to obtain an abortion as a matter of choice,8,skipped
CC24_324a,Abortion -- Always allow a woman the right to obtain an abortion as a matter of choice,9,not asked
CC24_324b,"Abortion -- Permit abortion only in case of rape, incest or when the woman's life is in danger",1,Support
CC24_324b,"Abortion -- Permit abortion only in case of rape, incest or when the woman's life is in danger",2,Oppose
CC24_324b,"Abortion -- Permit abortion only in case of rape, incest or when the woman's life is in danger",8,skipped
CC24_324b,"Abortion -- Permit abortion only in case of rape, incest or when the woman's life is in danger",9,not asked
CC24_324c,Abortion -- Make abortions illegal in all circumstances,1,Support
CC24_324c,Abortion -- Make abortions illegal in all circumstances,2,Oppose
CC24_324c,Abortion -- Make abortions illegal in all circumstances,8,skipped
CC24_324c,Abortion -- Make abortions illegal in all circumstances,9,not asked
CC24_324d,"Abortion -- Expand access to abortion, including making it more affordable, broadening the types of providers who can offer care, and protecting access to abortion clinics",1,Support
CC24_324d,"Abortion -- Expand access to abortion, including making it more affordable, broadening the types of providers who can offer care, and protecting access to abortion clinics",2,Oppose
CC24_324d,"Abortion -- Expand access to abortion, including making it more affordable, broadening the types of providers who can offer care, and protecting access to abortion clinics",8,skipped
CC24_324d,"Abortion -- Expand access to abortion, including making it more affordable, broadening the types of providers who can offer care, and protecting access to abortion clinics",9,not asked
CC24_325,Abortion Month,998,skipped
CC24_326a,Environment -- Give the Environmental Protection Agency power to regulate carbon dioxide emissions,1,Support
CC24_326a,Environment -- Give the Environmental Protection Agency power to regulate carbon dioxide emissions,2,Oppose
CC24_326a,Environment -- Give the Environmental Protection Agency power to regulate carbon dioxide emissions,8,skipped
CC24_326a,Environment -- Give the Environmental Protection Agency power to regulate carbon dioxide emissions,9,not asked
CC24_326b,"Environment -- Require that at least 20 percent of electricity be generated with renewable sources such as wind, solar, or hydroelectric power",1,Support
CC24_326b,"Environment -- Require that at least 20 percent of electricity be generated with renewable sources such as wind, solar, or hydroelectric power",2,Oppose
CC24_326b,"Environment -- Require that at least 20 percent of electricity be generated with renewable sources such as wind, solar, or hydroelectric power",8,skipped
CC24_326b,"Environment -- Require that at least 20 percent of electricity be generated with renewable sources such as wind, solar, or hydroelectric power",9,not asked
CC24_326c,Environment -- Strengthen the Environmental Protection Agency enforcement of the Clean Air Act and Clean Water Act even if it costs U.S. jobs,1,Support
CC24_326c,Environment -- Strengthen the Environmental Protection Agency enforcement of the Clean Air Act and Clean Water Act even if it costs U.S. jobs,2,Oppose
CC24_326c,Environment -- Strengthen the Environmental Protection Agency enforcement of the Clean Air Act and Clean Water Act even if it costs U.S. jobs,8,skipped
CC24_326c,Environment -- Strengthen the Environmental Protection Agency enforcement of the Clean Air Act and Clean Water Act even if it costs U.S. jobs,9,not asked
CC24_326d,Environment -- Increase fossil fuel production in the U.S.,1,Support
CC24_326d,Environment -- Increase fossil fuel production in the U.S.,2,Oppose
CC24_326d,Environment -- Increase fossil fuel production in the U.S.,8,skipped
CC24_326d,Environment -- Increase fossil fuel production in the U.S.,9,not asked
CC24_326e,Environment -- Halt new oil and gas leases on federal lands,1,Support
CC24_326e,Environment -- Halt new oil and gas leases on federal lands,2,Oppose
CC24_326e,Environment -- Halt new oil and gas leases on federal lands,8,skipped
CC24_326e,Environment -- Halt new oil and gas leases on federal lands,9,not asked
CC24_326f,Environment -- Prevent the government from banning gas stoves,1,Support
CC24_326f,Environment -- Prevent the government from banning gas stoves,2,Oppose
CC24_326f,Environment -- Prevent the government from banning gas stoves,8,skipped
CC24_326f,Environment -- Prevent the government from banning gas stoves,9,not asked
CC24_328a,Tax policies -- Relax local zoning laws in your state to allow for construction of more apartments and condos.,1,Support
CC24_328a,Tax policies -- Relax local zoning laws in your state to allow for construction of more apartments and condos.,2,Oppose
CC24_328a,Tax policies -- Relax local zoning laws in your state to allow for construction of more apartments and condos.,8,skipped
CC24_328a,Tax policies -- Relax local zoning laws in your state to allow for construction of more apartments and condos.,9,not asked
CC24_328b,Tax policies -- Expand federal tax incentives to encourage developers to build homes for people who make less than half of the average income in your area,1,Support
CC24_328b,Tax policies -- Expand federal tax incentives to encourage developers to build homes for people who make less than half of the average income in your area,2,Oppose
CC24_328b,Tax policies -- Expand federal tax incentives to encourage developers to build homes for people who make less than half of the average income in your area,8,skipped
CC24_328b,Tax policies -- Expand federal tax incentives to encourage developers to build homes for people who make less than half of the average income in your area,9,not asked
CC24_328c,Tax policies -- Require able-bodied adults under 64 years of age who do not have dependents to have a job in order to receive Medicaid.,1,Support
CC24_328c,Tax policies -- Require able-bodied adults under 64 years of age who do not have dependents to have a job in order to receive Medicaid.,2,Oppose
CC24_328c,Tax policies -- Require able-bodied adults under 64 years of age who do not have dependents to have a job in order to receive Medicaid.,8,skipped
CC24_328c,Tax policies -- Require able-bodied adults under 64 years of age who do not have dependents to have a job in order to receive Medicaid.,9,not asked
CC24_328d,Tax policies -- Repeal the Affordable Care Act,1,Support
CC24_328d,Tax policies -- Repeal the Affordable Care Act,2,Oppose
CC24_328d,Tax policies -- Repeal the Affordable Care Act,8,skipped
CC24_328d,Tax policies -- Repeal the Affordable Care Act,9,not asked
CC24_328e,"Tax policies -- Expand Medicaid to cover individuals making less than $25,000 and families making less than $40,000 a year.",1,Support
CC24_328e,"Tax policies -- Expand Medicaid to cover individuals making less than $25,000 and families making less than $40,000 a year.",2,Oppose
CC24_328e,"Tax policies -- Expand Medicaid to cover individuals making less than $25,000 and families making less than $40,000 a year.",8,skipped
CC24_328e,"Tax policies -- Expand Medicaid to cover individuals making less than $25,000 and families making less than $40,000 a year.",9,not asked
CC24_323f,"Tax policies -- Forgive up to $20,000 of student loan debt for each person",1,Support
CC24_323f,"Tax policies -- Forgive up to $20,000 of student loan debt for each person",2,Oppose
CC24_323f,"Tax policies -- Forgive up to $20,000 of student loan debt for each person",8,skipped
CC24_323f,"Tax policies -- Forgive up to $20,000 of student loan debt for each person",9,not asked
CC24_330a,Rate ideology -- Yourself,1,Very Liberal
CC24_330a,Rate ideology -- Yourself,2,Liberal
CC24_330a,Rate ideology -- Yourself,3,Somewhat Liberal
CC24_330a,Rate ideology -- Yourself,4,Middle of the Road
CC24_330a,Rate ideology -- Yourself,5,Somewhat Conservative
CC24_330a,Rate ideology -- Yourself,6,Conservative
CC24_330a,Rate ideology -- Yourself,7,Very Conservative
CC24_330a,Rate ideology -- Yourself,8,Not sure
CC24_330a,Rate ideology -- Yourself,98,skipped
CC24_330a,Rate ideology -- Yourself,99,not asked
CC24_330b,Rate ideology -- $CurrentGovName,1,Very Liberal
CC24_330b,Rate ideology -- $CurrentGovName,2,Liberal
CC24_330b,Rate ideology -- $CurrentGovName,3,Somewhat Liberal
CC24_330b,Rate ideology -- $CurrentGovName,4,Middle of the Road
CC24_330b,Rate ideology -- $CurrentGovName,5,Somewhat Conservative
CC24_330b,Rate ideology -- $CurrentGovName,6,Conservative
CC24_330b,Rate ideology -- $CurrentGovName,7,Very Conservative
CC24_330b,Rate ideology -- $CurrentGovName,8,Not sure
CC24_330b,Rate ideology -- $CurrentGovName,98,skipped
CC24_330b,Rate ideology -- $CurrentGovName,99,not asked
CC24_330c,Rate ideology -- Joe Biden,1,Very Liberal
CC24_330c,Rate ideology -- Joe Biden,2,Liberal
CC24_330c,Rate ideology -- Joe Biden,3,Somewhat Liberal
CC24_330c,Rate ideology -- Joe Biden,4,Middle of the Road
CC24_330c,Rate ideology -- Joe Biden,5,Somewhat Conservative
CC24_330c,Rate ideology -- Joe Biden,6,Conservative
CC24_330c,Rate ideology -- Joe Biden,7,Very Conservative
CC24_330c,Rate ideology -- Joe Biden,8,Not sure
CC24_330c,Rate ideology -- Joe Biden,98,skipped
CC24_330c,Rate ideology -- Joe Biden,99,not asked
CC24_330d,Rate ideology -- Kamala Harris,1,Very Liberal
CC24_330d,Rate ideology -- Kamala Harris,2,Liberal
CC24_330d,Rate ideology -- Kamala Harris,3,Somewhat Liberal
CC24_330d,Rate ideology -- Kamala Harris,4,Middle of the Road
CC24_330d,Rate ideology -- Kamala Harris,5,Somewhat Conservative
CC24_330d,Rate ideology -- Kamala Harris,6,Conservative
CC24_330d,Rate ideology -- Kamala Harris,7,Very Conservative
CC24_330d,Rate ideology -- Kamala Harris,8,Not sure
CC24_330d,Rate ideology -- Kamala Harris,98,skipped
CC24_330d,Rate ideology -- Kamala Harris,99,not asked
CC24_330e,Rate ideology -- Donald Trump,1,Very Liberal
CC24_330e,Rate ideology -- Donald Trump,2,Liberal
CC24_330e,Rate ideology -- Donald Trump,3,Somewhat Liberal
CC24_330e,Rate ideology -- Donald Trump,4,Middle of the Road
CC24_330e,Rate ideology -- Donald Trump,5,Somewhat Conservative
CC24_330e,Rate ideology -- Donald Trump,6,Conservative
CC24_330e,Rate ideology -- Donald Trump,7,Very Conservative
CC24_330e,Rate ideology -- Donald Trump,8,Not sure
CC24_330e,Rate ideology -- Donald Trump,98,skipped
CC24_330e,Rate ideology -- Donald Trump,99,not asked
CC24_330f,Rate ideology -- The Democratic Party,1,Very Liberal
CC24_330f,Rate ideology -- The Democratic Party,2,Liberal
CC24_330f,Rate ideology -- The Democratic Party,3,Somewhat Liberal
CC24_330f,Rate ideology -- The Democratic Party,4,Middle of the Road
CC24_330f,Rate ideology -- The Democratic Party,5,Somewhat Conservative
CC24_330f,Rate ideology -- The Democratic Party,6,Conservative
CC24_330f,Rate ideology -- The Democratic Party,7,Very Conservative
CC24_330f,Rate ideology -- The Democratic Party,8,Not sure
CC24_330f,Rate ideology -- The Democratic Party,98,skipped
CC24_330f,Rate ideology -- The Democratic Party,99,not asked
CC24_330g,Rate ideology -- The Republican Party,1,Very Liberal
CC24_330g,Rate ideology -- The Republican Party,2,Liberal
CC24_330g,Rate ideology -- The Republican Party,3,Somewhat Liberal
CC24_330g,Rate ideology -- The Republican Party,4,Middle of the Road
CC24_330g,Rate ideology -- The Republican Party,5,Somewhat Conservative
CC24_330g,Rate ideology -- The Republican Party,6,Conservative
CC24_330g,Rate ideology -- The Republican Party,7,Very Conservative
CC24_330g,Rate ideology -- The Republican Party,8,Not sure
CC24_330g,Rate ideology -- The Republican Party,98,skipped
CC24_330g,Rate ideology -- The Republican Party,99,not asked
CC24_330h,Rate ideology -- The U.S. Supreme Court,1,Very Liberal
CC24_330h,Rate ideology -- The U.S. Supreme Court,2,Liberal
CC24_330h,Rate ideology -- The U.S. Supreme Court,3,Somewhat Liberal
CC24_330h,Rate ideology -- The U.S. Supreme Court,4,Middle of the Road
CC24_330h,Rate ideology -- The U.S. Supreme Court,5,Somewhat Conservative
CC24_330h,Rate ideology -- The U.S. Supreme Court,6,Conservative
CC24_330h,Rate ideology -- The U.S. Supreme Court,7,Very Conservative
CC24_330h,Rate ideology -- The U.S. Supreme Court,8,Not sure
CC24_330h,Rate ideology -- The U.S. Supreme Court,98,skipped
CC24_330h,Rate ideology -- The U.S. Supreme Court,99,not asked
CC24_330i,Rate ideology -- $CurrentSen1Name,1,Very Liberal
CC24_330i,Rate ideology -- $CurrentSen1Name,2,Liberal
CC24_330i,Rate ideology -- $CurrentSen1Name,3,Somewhat Liberal
CC24_330i,Rate ideology -- $CurrentSen1Name,4,Middle of the Road
CC24_330i,Rate ideology -- $CurrentSen1Name,5,Somewhat Conservative
CC24_330i,Rate ideology -- $CurrentSen1Name,6,Conservative
CC24_330i,Rate ideology -- $CurrentSen1Name,7,Very Conservative
CC24_330i,Rate ideology -- $CurrentSen1Name,8,Not sure
CC24_330i,Rate ideology -- $CurrentSen1Name,98,skipped
CC24_330i,Rate ideology -- $CurrentSen1Name,99,not asked
CC24_330j,Rate ideology -- $CurrentSen2Name,1,Very Liberal
CC24_330j,Rate ideology -- $CurrentSen2Name,2,Liberal
CC24_330j,Rate ideology -- $CurrentSen2Name,3,Somewhat Liberal
CC24_330j,Rate ideology -- $CurrentSen2Name,4,Middle of the Road
CC24_330j,Rate ideology -- $CurrentSen2Name,5,Somewhat Conservative
CC24_330j,Rate ideology -- $CurrentSen2Name,6,Conservative
CC24_330j,Rate ideology -- $CurrentSen2Name,7,Very Conservative
CC24_330j,Rate ideology -- $CurrentSen2Name,8,Not sure
CC24_330j,Rate ideology -- $CurrentSen2Name,98,skipped
CC24_330j,Rate ideology -- $CurrentSen2Name,99,not asked
CC24_330l,Rate ideology -- $CurrentHouseName,1,Very Liberal
CC24_330l,Rate ideology -- $CurrentHouseName,2,Liberal
CC24_330l,Rate ideology -- $CurrentHouseName,3,Somewhat Liberal
CC24_330l,Rate ideology -- $CurrentHouseName,4,Middle of the Road
CC24_330l,Rate ideology -- $CurrentHouseName,5,Somewhat Conservative
CC24_330l,Rate ideology -- $CurrentHouseName,6,Conservative
CC24_330l,Rate ideology -- $CurrentHouseName,7,Very Conservative
CC24_330l,Rate ideology -- $CurrentHouseName,8,Not sure
CC24_330l,Rate ideology -- $CurrentHouseName,98,skipped
CC24_330l,Rate ideology -- $CurrentHouseName,99,not asked
CC24_340a,"Congress Bills -- Prohibit government restrictions on the provision of, and access to, contraceptives",1,Support
CC24_340a,"Congress Bills -- Prohibit government restrictions on the provision of, and access to, contraceptives",2,Oppose
CC24_340a,"Congress Bills -- Prohibit government restrictions on the provision of, and access to, contraceptives",8,skipped
CC24_340a,"Congress Bills -- Prohibit government restrictions on the provision of, and access to, contraceptives",9,not asked
CC24_340b,"Congress Bills -- Prohibit government restrictions on the provision of, and access to, abortion services",1,Support
CC24_340b,"Congress Bills -- Prohibit government restrictions on the provision of, and access to, abortion services",2,Oppose
CC24_340b,"Congress Bills -- Prohibit government restrictions on the provision of, and access to, abortion services",8,skipped
CC24_340b,"Congress Bills -- Prohibit government restrictions on the provision of, and access to, abortion services",9,not asked
CC24_340c,Congress Bills -- Require that all federal agencies recognize same-sex marriages and interracial marriages,1,Support
CC24_340c,Congress Bills -- Require that all federal agencies recognize same-sex marriages and interracial marriages,2,Oppose
CC24_340c,Congress Bills -- Require that all federal agencies recognize same-sex marriages and interracial marriages,8,skipped
CC24_340c,Congress Bills -- Require that all federal agencies recognize same-sex marriages and interracial marriages,9,not asked
CC24_340d,Congress Bills -- Ban TikTok unless China sells it to a US company,1,Support
CC24_340d,Congress Bills -- Ban TikTok unless China sells it to a US company,2,Oppose
CC24_340d,Congress Bills -- Ban TikTok unless China sells it to a US company,8,skipped
CC24_340d,Congress Bills -- Ban TikTok unless China sells it to a US company,9,not asked
CC24_340e,Congress Bills -- Renew the federal surveillance programs that were adopted after 9/11 which allow the government to search private electronic data without a search warrant,1,Support
CC24_340e,Congress Bills -- Renew the federal surveillance programs that were adopted after 9/11 which allow the government to search private electronic data without a search warrant,2,Oppose
CC24_340e,Congress Bills -- Renew the federal surveillance programs that were adopted after 9/11 which allow the government to search private electronic data without a search warrant,8,skipped
CC24_340e,Congress Bills -- Renew the federal surveillance programs that were adopted after 9/11 which allow the government to search private electronic data without a search warrant,9,not asked
CC24_340f,Congress Bills -- Deny access to asylum for immigrants who cross the US-Mexico border illegally,1,Support
CC24_340f,Congress Bills -- Deny access to asylum for immigrants who cross the US-Mexico border illegally,2,Oppose
CC24_340f,Congress Bills -- Deny access to asylum for immigrants who cross the US-Mexico border illegally,8,skipped
CC24_340f,Congress Bills -- Deny access to asylum for immigrants who cross the US-Mexico border illegally,9,not asked
CC24_341a,"Tax rates -- Extend the tax cuts enacted in 2017, which reduced individual and corporate income tax rates and limited deductions on mortgage interest and state and local taxes",1,Support
CC24_341a,"Tax rates -- Extend the tax cuts enacted in 2017, which reduced individual and corporate income tax rates and limited deductions on mortgage interest and state and local taxes",2,Oppose
CC24_341a,"Tax rates -- Extend the tax cuts enacted in 2017, which reduced individual and corporate income tax rates and limited deductions on mortgage interest and state and local taxes",8,skipped
CC24_341a,"Tax rates -- Extend the tax cuts enacted in 2017, which reduced individual and corporate income tax rates and limited deductions on mortgage interest and state and local taxes",9,not asked
CC24_341b,Tax rates -- Raise the corporate income tax rate from 21 percent to 28 percent,1,Support
CC24_341b,Tax rates -- Raise the corporate income tax rate from 21 percent to 28 percent,2,Oppose
CC24_341b,Tax rates -- Raise the corporate income tax rate from 21 percent to 28 percent,8,skipped
CC24_341b,Tax rates -- Raise the corporate income tax rate from 21 percent to 28 percent,9,not asked
CC24_341c,"Tax rates -- Allow tax rates on those earning $400,000 or more a year to rise to 35 percent",1,Support
CC24_341c,"Tax rates -- Allow tax rates on those earning $400,000 or more a year to rise to 35 percent",2,Oppose
CC24_341c,"Tax rates -- Allow tax rates on those earning $400,000 or more a year to rise to 35 percent",8,skipped
CC24_341c,"Tax rates -- Allow tax rates on those earning $400,000 or more a year to rise to 35 percent",9,not asked
CC24_341d,"Tax rates -- Spend $150 billion a year for 8 years on construction and repair of roads and bridges, rail, public transit, airports, water systems, broadband internet, and electric grid",1,Support
CC24_341d,"Tax rates -- Spend $150 billion a year for 8 years on construction and repair of roads and bridges, rail, public transit, airports, water systems, broadband internet, and electric grid",2,Oppose
CC24_341d,"Tax rates -- Spend $150 billion a year for 8 years on construction and repair of roads and bridges, rail, public transit, airports, water systems, broadband internet, and electric grid",8,skipped
CC24_341d,"Tax rates -- Spend $150 billion a year for 8 years on construction and repair of roads and bridges, rail, public transit, airports, water systems, broadband internet, and electric grid",9,not asked
CC24_361b,Party Registration,1,"No Party, Independent, Declined to State"
CC24_361b,Party Registration,2,Democratic Party
CC24_361b,Party Registration,3,Republican Party
